Id,X,Y,Z,Type,Error
0,0,50000,5000,3,0
1,33070.82583,2789.480761,5163.52468,0,0
2,54832.88702,49179.21911,1448.303791,1,1
3,77991.54591,63982.17529,5945.823038,0,0
4,16937.17953,84714.3419,5360.293002,0,0
5,339.6893976,14264.46288,3857.846358,1,0
6,3941.930556,74279.86363,9702.921007,1,1
7,45474.01365,26849.48213,6411.716766,1,0
8,86806.89916,5351.311863,4409.848101,0,0
9,23602.88016,68460.09566,88.47479583,0,0
10,35987.31241,2169.077624,2390.301133,1,0
11,58063.14956,60162.05574,6595.361341,0,0
12,83578.43861,52199.36131,3003.016979,1,1
13,13777.6179,18492.21515,4492.088919,0,0
14,85280.70138,73958.42531,3494.8147,0,0
15,38614.4414,50390.51692,7020.083711,0,0
16,92782.99721,36473.22188,6620.871186,0,0
17,68526.50499,14799.99388,2779.122545,1,0
18,96903.46565,58915.30056,5468.22785,0,1
19,603.8316062,71091.6543,1769.666089,1,1
20,82878.28379,956.3842692,3325.769493,1,0
21,94478.21883,18044.82534,9343.817859,0,0
22,45820.91469,13695.29398,8554.994796,0,0
23,56152.28951,78326.60002,7516.45804,0,0
24,55016.61398,26541.6802,1271.197862,0,0
25,35414.69991,21216.7098,4696.788004,1,0
26,640.4744428,83148.28581,8935.017762,1,0
27,49744.23878,57063.9315,2365.441797,0,1
28,32952.07895,60824.8649,2263.991244,0,1
29,2762.872724,66916.6987,9877.844114,0,1
30,68851.93229,24622.49237,5814.780488,0,0
31,38203.03505,13680.35599,9687.031298,0,0
32,51618.03208,27448.93224,9196.678402,1,0
33,47553.12987,63136.21402,6752.792491,1,0
34,67233.40217,14367.27258,7353.987317,1,0
35,53482.15799,96564.74534,9136.405123,1,0
36,49526.0652,49732.01673,132.5467046,0,1
37,12626.7024,88815.71008,8452.573699,0,0
38,48457.27818,4741.168003,1278.259061,1,0
39,86766.39764,74993.45265,5328.856726,0,0
40,9019.945162,50399.88515,2569.948864,0,1
41,67999.34736,4769.211172,334.3898984,0,0
42,35419.26429,36386.10407,7195.357679,1,0
43,78375.96413,98022.53038,6355.113108,1,0
44,68032.8618,82175.0338,3630.632216,0,0
45,51813.38722,47622.62518,1978.659995,1,1
46,91535.1785,56331.36228,806.1365814,1,1
47,16078.31447,70358.6957,2186.344762,1,1
48,68705.10756,10867.81153,8891.747979,1,0
49,34923.85698,71703.29824,1998.625252,1,0
50,6595.125017,78414.10571,2512.418891,0,0
51,17989.63984,7085.587618,4737.740368,1,0
52,60525.54317,20588.69608,935.285953,0,0
53,75079.11054,65228.24941,9210.790209,1,0
54,88308.7124,10221.73893,8504.887209,0,0
55,24066.24129,36698.38312,6585.463704,1,1
56,43036.97808,56356.03253,9524.603746,1,0
57,14300.82015,33866.52817,3936.831962,0,1
58,45801.46831,87513.78844,1460.504705,1,0
59,77298.70182,53830.9695,2196.669638,1,0
60,58100.76521,88991.53258,2199.934043,0,1
61,44838.83318,58254.85231,7374.934649,1,0
62,38943.02441,5100.916952,2907.492246,0,0
63,41562.5453,11018.64375,5218.508998,0,0
64,20665.99207,49213.48384,8287.520111,1,1
65,37629.56516,86824.92132,3832.632135,0,0
66,5446.239372,81322.71176,3405.271321,1,0
67,80774.32968,57884.90517,4219.284026,1,0
68,6748.837523,30825.86633,1394.600768,0,1
69,19835.93612,59347.29036,4903.014153,0,1
70,43420.55808,33356.89752,9598.846251,0,0
71,3148.170096,49220.90075,8682.979284,0,1
72,76872.90586,85887.95297,8822.90661,0,0
73,26638.55577,19372.70899,4989.906253,0,0
74,40187.19184,51928.71557,2496.221928,0,1
75,36978.97215,62570.81771,7448.708049,0,0
76,17422.67749,64340.96815,5161.822042,1,1
77,13673.89264,41761.09538,2505.402441,1,1
78,836.0185177,99579.22419,739.9255329,1,0
79,5277.719237,61974.32719,9323.212451,0,1
80,27810.03639,57543.80436,5123.839988,0,1
81,34117.8678,23881.16108,6443.329393,1,0
82,22289.70537,42943.97974,7591.257339,0,1
83,84799.73298,70649.21088,4819.930633,1,0
84,92989.64666,14543.00346,9739.811971,0,1
85,97046.91535,32006.01987,5464.621249,1,0
86,25636.77949,5102.231554,7782.76603,0,1
87,48469.56697,77541.08925,9559.699413,1,0
88,70404.50687,22165.41333,8795.999417,1,0
89,48917.914,59266.80792,9671.67827,1,0
90,25376.56786,33335.92073,2038.563572,1,1
91,28387.1825,58660.00551,7277.480733,1,1
92,12710.2639,62057.93073,5374.808635,1,1
93,81541.9183,33508.6072,7040.587652,1,0
94,62798.67919,22570.46589,5272.530634,1,0
95,34339.58824,95111.19159,6248.021072,1,1
96,57175.24937,41820.15201,5484.729371,0,1
97,54301.10482,39460.26165,60.52327566,0,0
98,17423.21139,96252.84232,7300.718381,0,0
99,59304.29872,69326.85414,5583.219367,1,0
100,48767.02956,8104.803953,5100.190759,1,0
101,77297.5286,41103.84887,1727.704775,1,0
102,3795.791337,4504.602634,6372.845042,1,0
103,42125.3119,79590.20813,2975.849361,1,0
104,71851.65721,95501.63341,9329.226919,0,0
105,95901.56952,76458.47771,7700.176491,0,0
106,16816.53828,97505.42701,3810.410412,0,0
107,16577.29032,96971.78823,4609.583818,1,0
108,33702.00429,52168.37765,92.30241708,1,1
109,67778.22908,99077.20775,5745.030786,1,0
110,72252.14878,16870.78132,6627.617574,1,0
111,37893.28647,21976.10607,8833.047214,1,0
112,14749.53811,23035.91405,6965.628124,0,0
113,69920.50138,65952.91537,3959.23888,0,0
114,7921.829747,82020.28101,3598.647467,1,0
115,91733.48893,80140.62992,7728.275999,1,0
116,90937.06476,46247.08333,8183.290495,1,0
117,55741.91262,21416.01888,8339.392655,1,0
118,57832.94332,72289.4864,8328.029232,0,0
119,55384.45193,84680.17116,3944.270723,0,0
120,17018.16604,96481.51676,440.5971927,0,0
121,53057.69688,4072.079987,3686.635787,0,0
122,62703.29285,69398.64706,4962.722351,0,0
123,24963.25295,61351.3641,8059.82172,1,1
124,33545.33013,30995.1956,6345.691038,1,0
125,5015.055107,70099.45397,6284.610799,0,1
126,38451.47738,86202.84907,3679.137609,0,0
127,43345.27361,89030.21205,6548.057407,1,0
128,21244.67624,79486.24456,1771.743951,1,1
129,88984.72824,95215.81861,1839.471347,0,0
130,52101.6578,7774.412175,9828.058363,0,0
131,86090.00194,9492.48377,3505.500623,1,0
